age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,income
Middleaged, Private, HSgrad,9, Divorced, Execmanagerial, Notinfamily, White, Male,None,None,Workaholic, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Localgov, Assocacdm,12, Nevermarried, Protectiveserv, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Sales, Ownchild, Black, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Bachelors,13, Divorced, Execmanagerial, Ownchild, White, Male,None,Low,Fulltime, UnitedStates,0
Middleaged, Federalgov, Somecollege,10, Marriedcivspouse, Admclerical, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Young, Stategov, Somecollege,10, Marriedcivspouse, Otherservice, Husband, Black, Male,None,None,Part-time, UnitedStates,0
Senior, Private, 11th,7, Nevermarried, Machineopinspct, Unmarried, White, Male,None,None,Fulltime, PuertoRico,0
Young, Private, Somecollege,10, Nevermarried, Machineopinspct, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, MarriedAFspouse, Admclerical, Wife, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Fulltime,null,1
Senior, Selfempnotinc, Assocacdm,12, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 9th,5, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Selfempnotinc, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Private, HSgrad,9, Separated, Admclerical, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Handlerscleaners, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Federalgov, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, Black, Male,None,None,Fulltime, UnitedStates,1
Senior, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Divorced, Execmanagerial, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Stategov, Assocvoc,11, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Assocvoc,11, Nevermarried, Profspecialty, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, Somecollege,10, Marriedcivspouse, Execmanagerial, Wife, Other, Female,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Otherservice, Ownchild, White, Female,None,None,Fulltime,null,0
Senior, Private, Profschool,15, Marriedcivspouse, Profspecialty, Wife, White, Female,None,High,Overtime, Honduras,1
Senior, Federalgov, Bachelors,13, Divorced, Execmanagerial, Notinfamily, White, Male,None,None,Overtime, UnitedStates,1
Senior, Selfempinc, HSgrad,9, Divorced, Execmanagerial, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Senior, Private, 5th6th,3, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, Mexico,0
Middleaged, Private, Assocvoc,11, Marriedcivspouse, Otherservice, Husband, White, Male,None,None,Fulltime, PuertoRico,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Admclerical, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged,null, 7th8th,4, Marriedspouseabsent,null, Notinfamily, White, Male,None,None,Fulltime,null,0
Senior, Private, HSgrad,9, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Doctorate,16, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, Somecollege,10, Divorced, Techsupport, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Fulltime, UnitedStates,1
Senior, Selfempinc, Somecollege,10, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,1
Young,null, Somecollege,10, Nevermarried,null, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Profspecialty, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Separated, Sales, Ownchild, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,None,None,Workaholic, UnitedStates,1
Young, Private, Somecollege,10, Nevermarried, Machineopinspct, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Old, Private, Somecollege,10, Marriedcivspouse, Profspecialty, Otherrelative, White, Male,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Ownchild, White, Male,None,None,Fulltime, Mexico,0
Middleaged, Private, Assocacdm,12, Marriedcivspouse, Admclerical, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Old,null, 10th,6, Marriedcivspouse,null, Husband, White, Male,None,None,Part-time, UnitedStates,0
Young, Private, 11th,7, Nevermarried, Otherservice, Ownchild, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Localgov, 7th8th,4, Marriedcivspouse, Farmingfishing, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Sales, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Bachelors,13, Marriedcivspouse, Otherservice, Husband, White, Male,None,None,Fulltime, Cuba,0
Senior, Private, HSgrad,9, Marriedcivspouse, Otherservice, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Craftrepair, Notinfamily, White, Female,High,None,Fulltime, UnitedStates,1
Senior, Private, HSgrad,9, Divorced, Sales, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Localgov, HSgrad,9, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Masters,14, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, 9th,5, Nevermarried, Sales, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Federalgov, Doctorate,16, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,1
Senior, Private, Assocvoc,11, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Divorced, Craftrepair, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Divorced, Machineopinspct, Unmarried, Black, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Sales, Wife, AsianPacIslander, Female,None,Low,Fulltime,null,0
Middleaged, Localgov, Bachelors,13, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Localgov, Somecollege,10, Nevermarried, Handlerscleaners, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Senior, Selfempnotinc, Doctorate,16, Marriedcivspouse, Profspecialty, Husband, White, Male,None,High,Overtime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,1
Senior, Private, Assocacdm,12, Divorced, Execmanagerial, Unmarried, White, Female,None,None,Fulltime, England,0
Middleaged, Federalgov, HSgrad,9, Nevermarried, Otherservice, Ownchild, Black, Male,None,None,Fulltime, UnitedStates,0
Old, Private, Masters,14, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Overtime, UnitedStates,1
Senior, Selfempnotinc, Masters,14, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Techsupport, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempinc, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Young,null, 10th,6, Nevermarried,null, Ownchild, White, Female,High,None,Fulltime, UnitedStates,0
Middleaged, Private, 11th,7, Nevermarried, Handlerscleaners, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, HSgrad,9, Nevermarried, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Handlerscleaners, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Sales, Otherrelative, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Profschool,15, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Senior, Selfempnotinc, HSgrad,9, Marriedcivspouse, Otherservice, Husband, White, Male,None,Low,Overtime, Canada,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Wife, White, Female,Low,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Machineopinspct, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, 9th,5, Marriedcivspouse, Handlerscleaners, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Selfempinc, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Localgov, Assocvoc,11, Marriedcivspouse, Craftrepair, Husband, Black, Male,None,None,Fulltime, UnitedStates,1
Senior, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Craftrepair, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Otherservice, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Execmanagerial, Ownchild, Black, Male,None,None,Fulltime, Germany,0
Middleaged, Stategov, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,1
Young, Private, Somecollege,10, Nevermarried, Otherservice, Ownchild, Black, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Wife, White, Female,None,None,Fulltime, UnitedStates,1
Young, Private, Somecollege,10, Nevermarried, Admclerical, Ownchild, White, Female,None,Low,Fulltime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Marriedcivspouse, Admclerical, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged,null, HSgrad,9, Marriedcivspouse,null, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Divorced, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Nevermarried, Sales, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Otherservice, Notinfamily, White, Female,None,Low,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Private, Assocacdm,12, Divorced, Techsupport, Notinfamily, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Federalgov, Masters,14, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, Iran,1
Middleaged, Selfempnotinc, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Assocvoc,11, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Sales, Ownchild, White, Male,None,None,Part-time, UnitedStates,0
Senior, Private, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, AsianPacIslander, Male,None,None,Fulltime, UnitedStates,1
Senior, Selfempinc, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Nevermarried, Sales, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Otherservice, Ownchild, White, Male,None,None,Fulltime, Mexico,0
Middleaged, Private, Assocvoc,11, Nevermarried, Profspecialty, Notinfamily, White, Female,None,Low,Fulltime, UnitedStates,1
Old, Private, Somecollege,10, Nevermarried, Techsupport, Otherrelative, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Transportmoving, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Marriedcivspouse, Otherservice, Husband, White, Male,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Widowed, Otherservice, Unmarried, White, Female,None,None,Part-time, UnitedStates,0
Senior, Private, 11th,7, Marriedcivspouse, Craftrepair, Husband, White, Male,None,High,Fulltime, UnitedStates,0
Middleaged,null, Somecollege,10, Divorced,null, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Localgov, Somecollege,10, Divorced, Admclerical, Unmarried, White, Female,None,None,Fulltime, Mexico,0
Middleaged, Private, HSgrad,9, Nevermarried, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Execmanagerial, Otherrelative, AsianPacIslander, Female,None,None,Fulltime, Philippines,0
Young, Private, HSgrad,9, Nevermarried, Craftrepair, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Senior,null, HSgrad,9, Divorced,null, Notinfamily, White, Male,None,None,Overtime, UnitedStates,1
Senior, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Handlerscleaners, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Old, Selfempnotinc, Somecollege,10, Separated, Sales, Unmarried, Black, Male,None,Low,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Craftrepair, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Bachelors,13, Separated, Otherservice, Otherrelative, Black, Male,None,None,Overtime, UnitedStates,0
Old,null, 1st4th,2, Divorced,null, Notinfamily, White, Female,None,None,Part-time, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Otherservice, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempinc, Masters,14, Divorced, Execmanagerial, Unmarried, AsianPacIslander, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Execmanagerial, Notinfamily, AsianPacIslander, Female,None,None,Fulltime, England,0
Middleaged, Selfempnotinc, Masters,14, Marriedcivspouse, Sales, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Divorced, Otherservice, Unmarried, White, Female,None,None,Fulltime, Mexico,0
Middleaged, Federalgov, Assocacdm,12, Nevermarried, Execmanagerial, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Senior, Stategov, Masters,14, Widowed, Protectiveserv, Unmarried, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, 11th,7, Nevermarried, Handlerscleaners, Ownchild, White, Male,None,None,Part-time, UnitedStates,0
Old, Localgov, Assocvoc,11, Widowed, Profspecialty, Notinfamily, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Notinfamily, White, Male,None,High,Fulltime, UnitedStates,0
Middleaged, Stategov, HSgrad,9, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,High,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Nevermarried, Craftrepair, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Stategov, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, HSgrad,9, Marriedspouseabsent, Sales, Unmarried, White, Female,None,None,Part-time, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Craftrepair, Ownchild, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Handlerscleaners, Notinfamily, Black, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Otherservice, Ownchild, White, Male,None,None,Part-time, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Workaholic, UnitedStates,0
Middleaged, Localgov, Somecollege,10, Marriedcivspouse, Execmanagerial, Husband, Black, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Nevermarried, Craftrepair, Notinfamily, Black, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, 7th8th,4, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, Mexico,1
Middleaged, Federalgov, Somecollege,10, Marriedcivspouse, Admclerical, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, HSgrad,9, Marriedcivspouse, Admclerical, Husband, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, Bachelors,13, Divorced, Execmanagerial, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Senior,null, Bachelors,13, Divorced,null, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Middleaged, Private, Masters,14, Marriedcivspouse, Profspecialty, Wife, White, Female,None,None,Overtime, UnitedStates,0
Senior, Stategov, Doctorate,16, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Part-time, UnitedStates,1
Middleaged, Private, Somecollege,10, Divorced, Machineopinspct, Notinfamily, Black, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Bachelors,13, Marriedcivspouse, Craftrepair, Husband, Black, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Somecollege,10, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Federalgov, Bachelors,13, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Part-time, UnitedStates,0
Young, Private, 5th6th,3, Marriedcivspouse, Transportmoving, Otherrelative, White, Male,None,None,Fulltime, Mexico,0
Middleaged, Private, Somecollege,10, Divorced, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Federalgov, Masters,14, Nevermarried, Execmanagerial, Notinfamily, White, Female,High,None,Overtime, UnitedStates,1
Middleaged, Private, Masters,14, Marriedcivspouse, Profspecialty, Otherrelative, White, Male,Low,None,Fulltime, UnitedStates,1
Young, Selfempnotinc, HSgrad,9, Nevermarried, Sales, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Nevermarried, Profspecialty, Notinfamily, White, Female,None,Low,Fulltime, UnitedStates,0
Young,null, HSgrad,9, Nevermarried,null, Ownchild, White, Male,None,None,Fulltime, Italy,0
Senior, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Localgov, Somecollege,10, Nevermarried, Profspecialty, Notinfamily, White, Female,None,Low,Fulltime, UnitedStates,0
Middleaged, Stategov, HSgrad,9, Divorced, Admclerical, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, 11th,7, Nevermarried, Sales, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Otherservice, Husband, Black, Male,Low,None,Fulltime, UnitedStates,1
Middleaged, Private, HSgrad,9, Divorced, Craftrepair, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Senior, Selfempinc, HSgrad,9, Marriedcivspouse, Sales, Wife, White, Female,High,None,Fulltime, UnitedStates,1
Young, Private, 11th,7, Nevermarried, Sales, Ownchild, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Localgov, HSgrad,9, Marriedcivspouse, Transportmoving, Husband, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Nevermarried, Sales, Notinfamily, AmerIndianEskimo, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, AsianPacIslander, Male,None,None,Fulltime, UnitedStates,0
Senior, Selfempinc, 7th8th,4, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Nevermarried, Execmanagerial, Notinfamily, Black, Male,None,None,Overtime, UnitedStates,1
Senior, Private, Assocacdm,12, Divorced, Sales, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, Poland,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, 10th,6, Nevermarried, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Handlerscleaners, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior,null, 1st4th,2, Divorced,null, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Old, Private, HSgrad,9, Nevermarried, Otherservice, Notinfamily, Black, Male,None,High,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Admclerical, Husband, Black, Male,None,None,Part-time, UnitedStates,0
Senior, Localgov, Preschool,1, Nevermarried, Machineopinspct, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Sales, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Senior,null, 10th,6, Divorced,null, Notinfamily, AmerIndianEskimo, Female,None,None,Part-time, UnitedStates,0
Old, Selfempnotinc, HSgrad,9, Marriedcivspouse, Farmingfishing, Husband, White, Male,Low,None,Overtime, UnitedStates,0
Old, Private, Assocvoc,11, Widowed, Admclerical, Notinfamily, White, Female,None,None,Part-time, Columbia,0
Senior, Private, HSgrad,9, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
